Title,Description,Date,Source,Imgsrc,Videosource,Post URL,Type,Language,Likecount,Priority
"24 bombs, 4.5 kg gunpowder seized from BAL leader's house in Pabna","AL Commander and Student leader Eleyas Khan said that acting on a tip-off, a team conducted a raid at the house of Abdul Salam.",3/13/2025,The Front Page,https://www.facebook.com/photo?fbid=122188882712263117&set=a.122096090138263117,N/A,N/A,News,English,328,High
"Rape, Victim Blaming, Punishment, Mob Justice — An Islamic POV",More details in the comment section,3/13/2025,The Front Page,https://www.facebook.com/photo?fbid=1046502544187357&set=a.549374723900144,N/A,N/A,Opinion,English,589,High
Celebrate the magic of Eid as Sundora unveils Big Eid Sale with up to 60% off on beauty and toys,"Sundora is thrilled to announce its special Eid sale, offering up to 60% off on select beauty products at Sundora Beauty and a wide variety of toys",3/13/2025,The Front Page,https://www.facebook.com/photo?fbid=1046573927513552&set=a.549374723900144,N/A,N/A,Ad,English,24,Medium
Crowd set fire to 8y/o victim's rapist's house,Bangla: পত্রের খেলা করন Kagoj - কাগজ. More details in the comment section.,3/15/2025,The Front Page / Jamuna TV,https://www.facebook.com/thefrontpagebd/videos/1308840356899551,N/A,N/A,News,English,N/A,High
"There should be a movement to increase journalists' salaries, says CA's Press Secretary","He said that if any newspaper pays a salary below 3000, it should be shut down. The government wants journalists to receive their fair wages.",3/13/2025,The Front Page,https://www.facebook.com/photo?fbid=1046655350838743&set=a.549374723900144,https://www.facebook.com/thefrontpagebd/videos/1308840356899551,N/A,News,English,92,Medium
"Every Ramadan, I spend time with Muslim communities living in difficult circumstances [.....] This year I'm in Bangladesh to express my solidarity with Rohingya refugees & Bangladeshi people hosting them","— António Guterres, UN Secretary-General",3/13/2025,The Front Page,https://www.facebook.com/photo?fbid=1046690080835270&set=a.549374723900144,N/A,N/A,News,English,N/A,Medium
"UN chief thanks Muhammad Yunus and Bangladesh, promises support for a better future.","Source: António Guterres/X. UN chief thanks Muhammad Yunus and Bangladesh, promises support for a better future.",3/13/2025,The Front Page,https://www.facebook.com/photo?fbid=1047157850788493&set=a.549374710566812,N/A,N/A,News,English,323,Medium
